label,t_ms,ax,ay,az
off,4273295,0.000610,-0.014038,1.003784
off,4273315,0.000854,-0.014893,1.004272
off,4273335,0.000488,-0.014282,1.004028
off,4273355,0.000000,-0.014160,1.003906
off,4273375,0.000000,-0.014648,1.004150
off,4273395,0.000244,-0.014771,1.004395
off,4273415,0.001099,-0.014771,1.004517
off,4273435,0.000122,-0.015381,1.003052
off,4273455,0.000610,-0.014893,1.003540
off,4273475,0.000488,-0.015259,1.003906
off,4273495,0.000000,-0.014893,1.004517
off,4273515,0.000977,-0.014526,1.004272
off,4273535,-0.002319,-0.011475,1.051270
off,4273555,-0.005005,-0.013672,0.964233
off,4273575,-0.000610,-0.013672,0.992432
off,4273595,0.001343,-0.016602,0.990112
off,4273615,0.001709,-0.014771,1.021851
off,4273635,0.001709,-0.015747,1.016968
off,4273655,0.000366,-0.015137,1.004883
off,4273675,0.000854,-0.015137,1.009155
off,4273695,0.001099,-0.014648,0.995117
off,4273715,0.000000,-0.015381,0.999390
off,4273735,0.000244,-0.014282,1.002441
off,4273755,0.000366,-0.015747,1.000732
off,4273775,0.000488,-0.013428,1.008667
off,4273795,0.000244,-0.015503,1.005493
off,4273815,0.000488,-0.014526,1.006714
off,4273835,0.000488,-0.015259,1.002930
off,4273855,0.000488,-0.015015,1.002197
off,4273875,0.000610,-0.015381,1.003662
off,4273895,0.001343,-0.014893,1.003540
off,4273915,0.000000,-0.014771,1.002930
off,4273935,0.000122,-0.015381,1.004883
off,4273955,0.000122,-0.014160,1.004517
off,4273975,0.000977,-0.014526,1.003418
off,4273995,0.000732,-0.014160,1.003174
off,4274015,0.000732,-0.014771,1.004272
off,4274035,0.000000,-0.014893,1.002930
off,4274055,0.000488,-0.014893,1.004395
off,4274075,0.000366,-0.014282,1.003052
off,4274095,0.000732,-0.014038,1.004272
off,4274115,0.000488,-0.014526,1.003174
off,4274135,0.000366,-0.015625,1.004639
off,4274155,0.000122,-0.015137,1.004150
off,4274175,0.000244,-0.014893,1.003662
off,4274195,0.000610,-0.014771,1.004272
off,4274215,0.001099,-0.014893,1.004272
off,4274235,0.001343,-0.015747,1.003418
off,4274255,0.000488,-0.015137,1.004517
off,4274275,0.000366,-0.014038,1.003906
off,4274295,0.000488,-0.014893,1.004150
off,4274315,0.000732,-0.014404,1.003418
off,4274335,0.000488,-0.014160,1.004517
off,4274355,0.000366,-0.014893,1.003296
off,4274375,0.000366,-0.015137,1.004150
off,4274395,0.000244,-0.014893,1.004028
off,4274415,0.000244,-0.014282,1.003540
off,4274435,0.000244,-0.014038,1.003174
off,4274455,0.000732,-0.014526,1.004272
off,4274475,0.000488,-0.014893,1.004150
off,4274495,0.000610,-0.014282,1.003540
off,4274515,0.001221,-0.015015,1.004883
off,4274535,0.000488,-0.014648,1.003906
off,4274555,0.000488,-0.014038,1.004272
off,4274575,0.000122,-0.015015,1.002808
off,4274595,0.000610,-0.014038,1.004761
off,4274615,0.000732,-0.014771,1.003906
off,4274635,0.000488,-0.014771,1.004761
off,4274655,0.000366,-0.014893,1.003784
off,4274675,0.001099,-0.015137,1.004761
off,4274695,0.008911,-0.012817,1.003296
off,4274715,-0.003906,-0.015381,0.970215
off,4274735,-0.003418,-0.010498,0.977539
off,4274755,0.001221,-0.015381,0.977173
off,4274775,0.000854,-0.015259,1.022827
off,4274795,0.002197,-0.016235,1.015015
off,4274815,0.001465,-0.016357,1.010742
off,4274835,0.000488,-0.014282,0.993530
off,4274855,0.000000,-0.014404,0.995483
off,4274875,0.000488,-0.015015,1.003296
off,4274895,0.000000,-0.014282,1.000366
off,4274915,0.001587,-0.014526,1.013306
off,4274935,0.000610,-0.014404,1.009399
off,4274955,-0.008911,-0.008789,0.973511
off,4274975,-0.007568,-0.008179,0.970947
off,4274995,-0.002197,-0.011597,1.019775
off,4275015,0.001831,-0.014893,1.030884
off,4275035,0.003418,-0.015869,1.020996
off,4275055,0.001099,-0.016968,0.990112
off,4275075,0.000122,-0.016479,0.995850
off,4275095,0.000122,-0.013794,0.999512
off,4275115,0.000244,-0.013428,0.996582
off,4275135,0.002075,-0.015137,1.012573
off,4275155,0.000366,-0.015869,1.010498
off,4275175,0.000244,-0.015869,1.007813
off,4275195,0.000854,-0.014404,0.999390
off,4275215,0.000244,-0.013794,1.000854
off,4275235,0.000366,-0.014404,1.001465
