label,t_ms,ax,ay,az
dysfunction,5653315,0.068604,-0.035156,1.172485
dysfunction,5653335,0.076904,-0.016357,1.170532
dysfunction,5653355,-0.097778,0.012817,0.780762
dysfunction,5653375,-0.101929,-0.020508,0.822266
dysfunction,5653395,0.032593,0.065430,1.014893
dysfunction,5653415,0.007813,0.065308,0.997070
dysfunction,5653435,0.085815,0.014893,1.160034
dysfunction,5653455,-0.092529,-0.046143,0.889160
dysfunction,5653475,-0.143066,-0.110229,1.423462
dysfunction,5653495,-0.045898,0.097778,0.720825
dysfunction,5653515,0.039917,0.094360,0.690430
dysfunction,5653535,-0.006836,0.005615,1.272705
dysfunction,5653555,0.060303,0.023437,1.220215
dysfunction,5653575,-0.006714,-0.048462,0.991333
dysfunction,5653595,-0.031128,-0.053467,0.986694
dysfunction,5653615,-0.073730,0.036011,0.846558
dysfunction,5653635,0.082397,0.055298,1.139648
dysfunction,5653655,-0.030396,0.012573,0.859375
dysfunction,5653675,-0.094360,-0.007446,1.092407
dysfunction,5653695,-0.066528,-0.027222,1.244507
dysfunction,5653715,0.044067,0.016235,0.958252
dysfunction,5653735,0.042847,0.079590,0.895874
dysfunction,5653755,0.013550,-0.004272,1.084106
dysfunction,5653775,0.059082,-0.007324,1.119019
dysfunction,5653795,-0.080566,-0.036255,0.913818
dysfunction,5653815,0.025269,0.074829,0.949219
dysfunction,5653835,-0.012451,0.078125,0.956787
dysfunction,5653855,0.061401,0.026733,1.169189
dysfunction,5653875,-0.123169,-0.180298,1.608276
dysfunction,5653895,-0.112793,0.000244,0.765381
dysfunction,5653915,0.029663,-0.005371,0.789795
dysfunction,5653935,-0.048706,0.015991,0.964966
dysfunction,5653955,0.119751,0.026855,0.945190
dysfunction,5653975,0.101074,0.073120,1.164185
dysfunction,5653995,-0.032715,-0.053467,0.948975
dysfunction,5654015,-0.023071,-0.053345,1.003662
dysfunction,5654035,-0.057129,0.023682,0.887695
dysfunction,5654055,-0.078369,0.008545,0.879150
dysfunction,5654075,0.068604,0.071167,1.042480
dysfunction,5654095,-0.013916,0.065674,0.853149
dysfunction,5654115,0.088745,-0.002319,1.214844
dysfunction,5654135,-0.066528,0.026123,1.159058
dysfunction,5654155,-0.089844,-0.008911,0.744873
dysfunction,5654175,0.009277,0.051270,1.098877
dysfunction,5654195,0.030640,0.051880,1.039551
dysfunction,5654215,0.077515,0.008911,1.147705
dysfunction,5654235,0.088501,0.006592,1.144165
dysfunction,5654255,-0.066040,-0.061890,0.907471
dysfunction,5654275,-0.088135,-0.055664,0.906006
dysfunction,5654295,-0.018433,0.075317,0.937622
dysfunction,5654315,0.118896,0.035034,1.118652
dysfunction,5654335,0.098145,0.057739,1.071533
dysfunction,5654355,-0.058716,-0.064331,0.993042
dysfunction,5654375,-0.006226,0.004883,1.006226
dysfunction,5654395,0.000244,0.006592,1.035156
dysfunction,5654415,-0.000977,0.003906,1.024902
dysfunction,5654435,0.004272,0.036255,0.984619
dysfunction,5654455,0.003540,0.082886,0.959717
dysfunction,5654475,0.052734,-0.028931,1.144531
dysfunction,5654495,-0.079712,-0.016479,0.890381
dysfunction,5654515,0.037109,0.039429,1.102417
dysfunction,5654535,0.006470,0.138672,0.726929
dysfunction,5654555,-0.035278,0.058594,0.836060
dysfunction,5654575,0.095215,-0.026001,1.308105
dysfunction,5654595,0.108765,-0.002075,1.247559
dysfunction,5654615,-0.064087,-0.036011,0.906738
dysfunction,5654635,-0.079712,-0.050415,0.896973
dysfunction,5654655,-0.039795,0.051270,0.914551
dysfunction,5654675,0.097290,0.033691,1.184814
dysfunction,5654695,0.064819,0.029663,0.985107
dysfunction,5654715,-0.112549,-0.121460,1.072388
dysfunction,5654735,-0.081177,-0.113037,1.195190
dysfunction,5654755,-0.014526,0.070557,0.829468
dysfunction,5654775,-0.029419,0.057007,0.793335
dysfunction,5654795,0.041626,0.065552,1.055786
dysfunction,5654815,0.011475,0.072266,1.038330
dysfunction,5654835,0.022583,-0.044434,1.128052
dysfunction,5654855,-0.081665,0.009766,0.830078
dysfunction,5654875,-0.086792,-0.004272,0.831055
dysfunction,5654895,0.025513,0.061768,0.981445
dysfunction,5654915,0.005615,0.073975,0.733643
dysfunction,5654935,0.133667,-0.003540,1.294312
dysfunction,5654955,0.118652,-0.010010,1.252441
dysfunction,5654975,-0.114014,-0.023315,0.762695
dysfunction,5654995,0.005005,-0.043091,0.833862
dysfunction,5655015,-0.006836,0.052612,0.999512
dysfunction,5655035,0.101318,0.039307,1.162842
dysfunction,5655055,0.099487,0.043701,1.158081
dysfunction,5655075,-0.065796,-0.064575,0.919800
dysfunction,5655095,-0.093018,-0.079224,0.852783
dysfunction,5655115,-0.191772,-0.168701,1.407104
dysfunction,5655135,-0.017822,0.054932,1.093628
dysfunction,5655155,0.148804,0.139282,0.951538
dysfunction,5655175,-0.070190,-0.101440,1.084839
dysfunction,5655195,-0.032959,-0.074707,1.098511
dysfunction,5655215,-0.030640,0.038574,0.884521
dysfunction,5655235,0.020508,-0.015991,1.007324
dysfunction,5655255,-0.008423,0.013550,0.961182
dysfunction,5655275,0.003296,0.018433,0.971069
dysfunction,5655295,-0.064575,-0.010742,0.853760
dysfunction,5655315,0.068237,0.151855,0.677124
dysfunction,5655335,-0.016357,-0.024048,1.314087
dysfunction,5655355,0.048828,0.020874,0.905762
dysfunction,5655375,0.050781,0.035645,0.864258
dysfunction,5655395,-0.023560,0.022949,1.006470
dysfunction,5655415,-0.030151,0.026489,1.004395
dysfunction,5655435,0.012817,0.014282,1.026855
dysfunction,5655455,0.006226,0.002686,1.026855
dysfunction,5655475,0.007568,0.017212,0.975342
dysfunction,5655495,0.140747,0.141724,0.923706
dysfunction,5655515,0.042725,0.115112,0.717285
dysfunction,5655535,0.048340,-0.019165,1.221069
dysfunction,5655555,0.022583,-0.010742,1.132813
dysfunction,5655575,0.016602,0.031372,0.847656
