label,t_ms,ax,ay,az
normal,5222295,0.007935,0.018066,0.999878
normal,5222315,0.007324,0.017822,1.000366
normal,5222335,0.006958,0.017212,0.994873
normal,5222355,0.028076,0.020630,1.047241
normal,5222375,0.008179,-0.026733,1.008179
normal,5222395,0.003052,-0.037842,1.020752
normal,5222415,-0.035156,0.061523,0.908203
normal,5222435,-0.038330,0.060181,0.906250
normal,5222455,0.046875,0.042114,1.048706
normal,5222475,0.043091,0.048340,1.035522
normal,5222495,0.028931,-0.046387,1.070801
normal,5222515,-0.035645,0.038208,0.918335
normal,5222535,-0.042603,0.037598,0.909668
normal,5222555,0.024048,0.064697,1.004639
normal,5222575,0.018188,0.068359,0.990967
normal,5222595,0.048096,-0.031738,1.100586
normal,5222615,0.054199,-0.025757,1.104736
normal,5222635,-0.037720,0.005005,0.937500
normal,5222655,-0.033691,-0.005493,0.950073
normal,5222675,-0.007690,0.075317,0.944458
normal,5222695,0.059937,-0.011597,1.105225
normal,5222715,0.061646,-0.003052,1.101440
normal,5222735,-0.021240,-0.025391,0.983765
normal,5222755,-0.013306,-0.031250,0.997681
normal,5222775,-0.028198,0.072144,0.913330
normal,5222795,-0.031250,0.068726,0.909058
normal,5222815,0.056274,0.028320,1.074585
normal,5222835,0.052002,0.034058,1.067627
normal,5222855,0.011597,-0.044189,1.045654
normal,5222875,-0.041504,0.056274,0.901489
normal,5222895,-0.042236,0.051514,0.902588
normal,5222915,0.037476,0.055298,1.030518
normal,5222935,0.029053,0.055664,1.019165
normal,5222955,0.003418,0.015869,0.999146
normal,5222975,0.007324,0.019653,1.000610
normal,5222995,0.008789,0.017578,1.005615
normal,5223015,0.006470,0.018433,1.001709
normal,5223035,0.006592,0.018799,1.001221
normal,5223055,0.006226,0.018188,1.000854
normal,5223075,0.005859,0.018188,1.001221
normal,5223095,0.005859,0.017212,1.001709
normal,5223115,0.005493,0.016602,1.001099
normal,5223135,0.006958,0.018188,1.001465
normal,5223155,0.006348,0.016724,1.001465
normal,5223175,0.006470,0.017456,1.000732
normal,5223195,0.005981,0.018188,1.000977
normal,5223215,0.005737,0.017212,1.000610
normal,5223235,0.007080,0.017578,1.001099
